City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Cape Town,ZA,78.12,clear sky,-33.9258,18.4232,Southern Sun Waterfront Cape Town
4,Kavieng,PG,82.51,light rain,-2.5744,150.7967,Nusa Island Retreat
7,Arraial Do Cabo,BR,85.96,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
14,Atuona,PF,77.16,clear sky,-9.8,-139.0333,Villa Enata
20,Rikitea,PF,77.38,light rain,-23.1203,-134.9692,People ThankYou
22,Hermanus,ZA,77.9,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
26,Geraldton,AU,75.61,few clouds,-28.7667,114.6,Broadwater Mariner Resort
35,Vaini,TO,82.18,overcast clouds,-21.2,-175.2,Keleti Beach Resort
49,Faanui,PF,81.07,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
50,Touros,BR,83.3,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
51,Fare,PF,80.46,clear sky,-16.7,-151.0167,Maitai Lapita Village Huahine
58,Bambous Virieux,MU,80.85,broken clouds,-20.3428,57.7575,Casa Tia Villa
70,Puerto Maldonado,PE,81.0,light rain,-12.6,-69.1833,Wasai Hotel
73,Kralendijk,BQ,85.98,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
74,Saint-Philippe,RE,80.19,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
75,Natal,BR,86.22,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
78,Richards Bay,ZA,80.89,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
79,Hithadhoo,MV,81.25,broken clouds,-0.6,73.0833,Scoop Guest House
82,East London,ZA,76.14,clear sky,-33.0153,27.9116,Tu Casa
84,Porto Velho,BR,80.65,moderate rain,-8.7619,-63.9039,Hotel Central
86,Vicuna,CL,85.77,clear sky,-30.0319,-70.7081,Los Mosaicos
88,Monte Alegre,BR,83.23,broken clouds,-2.0078,-54.0692,Hotel Shekinah
89,Rio Bananal,BR,89.22,few clouds,-19.265,-40.3333,HOTEL SCARTON
96,Bandarbeyla,SO,75.97,broken clouds,9.4942,50.8122,JABIR HOTEL
103,Guider,CM,86.88,clear sky,9.9342,13.9486,"AUBERGE LA GRACE , GÉRANT : OUDAWAREME BALTHAZAR"
104,Namatanai,PG,79.0,light rain,-3.6667,152.4333,Seagulls Inn Namatani
106,Avarua,CK,78.85,few clouds,-21.2078,-159.775,Paradise Inn
112,Cam Ranh,VN,75.16,few clouds,11.9214,109.1591,OYO 598 Peony Hotel
116,Balabac,PH,79.79,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
122,Yulara,AU,84.04,broken clouds,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
123,Kattivakkam,IN,80.08,broken clouds,13.2167,80.3167,Euronova Freezer
126,Butaritari,KI,81.75,light rain,3.0707,172.7902,Isles Sunset Lodge
129,San-Pedro,CI,85.64,few clouds,4.7485,-6.6363,Hotel Maria
130,Tamandare,BR,85.12,broken clouds,-8.7597,-35.1047,Pousada 100 Passos
133,The Valley,AI,82.26,scattered clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
134,Padang,ID,78.35,overcast clouds,-0.9492,100.3543,Mercure Padang
146,Riachao Das Neves,BR,81.63,few clouds,-11.7461,-44.91,Casa Costa
149,Funtua,NG,81.61,scattered clouds,11.5233,7.3081,Sani Jikan Mallam Hotel
150,Port Elizabeth,ZA,75.09,broken clouds,-33.918,25.5701,39 On Nile Guest House
151,Emerald,AU,77.14,few clouds,-23.5333,148.1667,The Irish Village
153,Banjar,ID,80.46,light rain,-8.19,114.9675,The Hamsa Resort
155,Marigot,MF,82.18,few clouds,18.0667,-63.0833,"Sonesta Maho Beach Resort, Casino & Spa"
159,Bengkulu,ID,77.23,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
161,Kang,BW,80.29,light rain,-23.6752,22.7876,Kang Ultra Stop
169,Rio Grande,BR,77.11,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
170,Palmar,CR,87.76,scattered clouds,9.8728,-84.4553,Casa Victoria y Anabella
176,Xai-Xai,MZ,81.01,clear sky,-25.0519,33.6442,Complexo da Familia
180,Matara,LK,76.75,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
181,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
185,Varzea Da Palma,BR,86.79,light rain,-17.5981,-44.7308,Casa Fernandes
186,Georgetown,MY,83.95,few clouds,5.4112,100.3354,Cititel Penang
187,Wajid,SO,87.67,broken clouds,3.8093,43.2471,xamdihotelresturant114
190,Moree,AU,75.22,broken clouds,-29.4667,149.85,Molika Springs Motel
193,Conde,BR,85.46,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
194,Necochea,AR,81.03,clear sky,-38.5473,-58.7368,dyd -mar Hotel
206,Souillac,MU,80.98,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
208,Nabire,ID,77.0,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
214,Vao,NC,78.96,light rain,-22.6667,167.4833,Hotel Kou-Bugny
220,Tecoanapa,MX,81.86,clear sky,16.5167,-98.75,Hotel Manglares
222,Ugoofaaru,MV,81.82,few clouds,5.6667,73.0,Ungoofaaru Inn
225,Luanda,AO,80.76,overcast clouds,-8.8368,13.2343,Hotel Fórum
241,Lorengau,PG,82.13,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
242,Sabya,SA,82.02,clear sky,17.1495,42.6254,Aseel Hotel Apartment
248,Puerto Ayora,EC,82.36,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
257,Praya,CV,75.74,broken clouds,14.9215,-23.5087,LT Aparthotel
261,Maragogi,BR,84.78,broken clouds,-9.0122,-35.2225,Salinas do Maragogi All Inclusive Resort
262,Kununurra,AU,76.98,overcast clouds,-15.7667,128.7333,Hotel Kununurra
263,Mayumba,GA,80.49,light rain,-3.432,10.6554,LIKWALE LODGE
265,Caravelas,BR,87.1,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
268,Winburg,ZA,80.44,broken clouds,-28.518,27.0093,Hotel Winburg
270,Hobyo,SO,77.74,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
278,Barahona,DO,82.22,few clouds,18.2085,-71.1008,Hotel Caribe
279,Buala,SB,79.39,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
285,Arlit,NE,79.79,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
286,Manavalakurichi,IN,84.29,scattered clouds,8.1333,77.3,Jebinrio home
287,Kupang,ID,77.58,light rain,-10.1667,123.5833,Hotel On The Rock by Prasanthi
291,Aden,YE,76.19,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
294,Salalah,OM,75.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
298,Grand Gaube,MU,81.0,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
300,Puerto Leguizamo,CO,89.91,overcast clouds,-0.1934,-74.7819,la casona de juancho
303,Saint-Pierre,RE,80.28,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
305,Angoche,MZ,79.07,clear sky,-16.2325,39.9086,Guest House HESADA
309,Alofi,NU,76.89,few clouds,-19.0595,-169.9187,Taloa Heights
311,Pemangkat,ID,78.39,overcast clouds,1.1667,108.9667,Ramah Kost KITA
315,Terra Santa,BR,86.07,broken clouds,-2.1042,-56.4869,Hotel Sarah
318,Esmeralda,CU,78.04,clear sky,21.8525,-78.1169,Centro de Pioneros Exploradores
320,Mitsamiouli,KM,82.69,few clouds,-11.3847,43.2844,Foyer ADM
325,Upata,VE,86.83,broken clouds,8.0086,-62.3989,Posada Villa Nela
330,Namibe,AO,81.23,few clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
333,Junin,AR,76.48,clear sky,-34.5838,-60.9433,Hotel Central
334,Cordoba,AR,82.42,clear sky,-31.4135,-64.1811,Hotel Sussex
336,Sao Jose De Ribamar,BR,82.78,overcast clouds,-2.5619,-44.0542,Mediterrânea Hotel e Restaurante
338,Bonthe,SL,86.22,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
339,Ballina,AU,75.16,overcast clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
342,Cayenne,GF,84.24,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
343,Karratha,AU,80.1,clear sky,-20.7377,116.8463,ibis Styles Karratha
344,Cairns,AU,78.06,moderate rain,-16.9167,145.7667,Mantra Trilogy Cairns
362,Montelibano,CO,84.4,few clouds,7.9829,-75.4229,Montelíbano Plaza Hotel
364,Mahebourg,MU,80.89,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
371,Rayong,TH,81.03,few clouds,12.8333,101.4333,Suan Palm Garden View Hotel
372,Harper,LR,84.65,broken clouds,4.375,-7.7169,Screensaver
373,Humberto De Campos,BR,75.25,overcast clouds,-2.5983,-43.4611,Pousada do Cabeça
376,Nakhon Thai,TH,75.24,clear sky,17.1006,100.8374,Phet resort
378,Sibu,MY,79.11,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
379,Srandakan,ID,76.86,overcast clouds,-7.9386,110.2506,Puri Brata
380,Mahibadhoo,MV,80.53,broken clouds,3.7833,72.9667,Omadhoo Inn
381,Port Hedland,AU,82.45,overcast clouds,-20.3167,118.5667,"The Esplanade Hotel (Accommodation section closed for refurbishment - Bar, Restaurant & Functions remain open)"
387,Dingle,PH,76.08,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
388,Touho,NC,79.39,moderate rain,-20.7833,165.2333,Auberge Timay Evasion
391,Neuquen,AR,80.49,clear sky,-38.9516,-68.0591,Hotel del Comahue
392,Penalva,BR,77.36,overcast clouds,-3.2942,-45.1736,Hotel São José
396,Luwuk,ID,77.38,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
397,Kavaratti,IN,81.12,scattered clouds,10.5669,72.642,Hotels in Lakshadweep Islands
401,General Roca,AR,81.0,clear sky,-39.0333,-67.5833,Hotel y Casino del Río General Roca
403,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
404,Marica,BR,87.96,broken clouds,-22.9194,-42.8186,Marica Hills
406,Salinopolis,BR,76.32,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
410,Kuruman,ZA,86.0,light rain,-27.4524,23.4325,Cornerstone Guest House
411,Dutse,NG,82.47,clear sky,11.7594,9.3392,Central Mosque Galamawa
413,Dicabisagan,PH,76.77,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
420,Oriximina,BR,83.88,broken clouds,-1.7656,-55.8661,Pousada Tia Amélia
421,Panukulan,PH,77.88,broken clouds,14.9333,121.8144,AC Lodging House
428,Finschhafen,PG,80.06,overcast clouds,-6.6024,147.8681,Cossam Guest House
432,Pouembout,NC,76.87,moderate rain,-21.1333,164.9,Camping de Tipenga
435,Neiafu,TO,82.69,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
437,San Juan Del Sur,NI,80.82,scattered clouds,11.2529,-85.8705,Nuestra Casa
438,Tanete,ID,76.21,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
441,Sambava,MG,78.49,scattered clouds,-14.2667,50.1667,Melrose
450,Gombong,ID,81.1,light rain,-7.6072,109.5142,Grafika Hotel Dan Restoran
456,Carutapera,BR,75.2,overcast clouds,-1.195,-46.02,Lidera
458,Atar,MR,82.08,broken clouds,20.5169,-13.0499,Oumou Elghoura
461,Porto Walter,BR,86.09,overcast clouds,-8.2686,-72.7439,Secretaria de saúde
462,Manali,IN,80.08,broken clouds,13.1667,80.2667,Sarathy Lodge
466,Iquitos,PE,87.84,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
468,Hambantota,LK,77.34,few clouds,6.1241,81.1185,Bungalow 63
473,Esmeraldas,BR,87.91,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
474,Hue,VN,75.31,scattered clouds,16.4667,107.6,Saigon Morin Hotel
475,Melo,UY,77.13,broken clouds,-32.3667,-54.1833,Hotel Juana
476,Karaton,ID,78.96,overcast clouds,-6.3424,106.1045,Parkir Mobil Wisata CAS Water Park
477,Maumere,ID,80.17,overcast clouds,-8.6199,122.2111,Sylvia Hotel
481,Auki,SB,77.34,heavy intensity rain,-8.7676,160.7034,Auki Motel
483,Axim,GH,86.58,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
484,Biak,ID,76.42,overcast clouds,-0.9131,122.8766,Penginapan Kim
489,Muisne,EC,82.51,light rain,0.6,-80.0333,Quinta Samay
496,Cap Malheureux,MU,81.09,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
504,Santa Cruz,BO,80.06,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
513,Bagotville,AU,75.02,broken clouds,-28.9833,153.4167,Broadwater Sunrise Caravan Park
515,Crixas,BR,80.51,overcast clouds,-14.5489,-49.9692,RISO HOTEL
516,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
517,Rodrigues Alves,BR,86.2,overcast clouds,-7.738,-72.6509,Pousada Aconchego
520,Bahia Blanca,AR,86.58,clear sky,-38.7196,-62.2724,Hotel Argos
522,Surin,TH,84.9,clear sky,14.8818,103.4936,One Fu Hotel
527,Formosa,AR,84.18,scattered clouds,-26.1775,-58.1781,Hotel Portal del Sol
531,Isangel,VU,78.91,moderate rain,-19.55,169.2667,Tanna Lodge
533,Bermejo,AR,76.91,broken clouds,-32.8833,-68.8,Muras Apart Hotel
534,Khao Yoi,TH,75.9,clear sky,13.2403,99.8243,เปิ้ล ทำเบาะ
537,Les Cayes,HT,82.62,clear sky,18.2,-73.75,Villa Orphee
538,Moroni,KM,82.4,light rain,-11.7022,43.2551,Hotel les Arcades
549,Saldanha,ZA,77.05,clear sky,-33.0117,17.9442,Blue Bay Lodge
557,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
559,Banda Aceh,ID,81.07,broken clouds,5.5577,95.3222,Sulthan Hotel International
561,Sechura,PE,79.09,broken clouds,-5.5569,-80.8222,Hospedaje Costa Bella
563,Tomatlan,MX,77.59,overcast clouds,19.9333,-105.25,El Salvial
566,Madingou,CG,85.89,light rain,-4.1536,13.55,HOTEL KIM ELISA
570,Caetite,BR,79.68,broken clouds,-14.0694,-42.475,Hotel Porto do Sol
576,Kalmunai,LK,77.38,scattered clouds,7.4167,81.8167,VS Villa
577,Ternate,ID,80.11,scattered clouds,0.8,127.4,Sahid Bela Ternate Hotel
586,Gunjur,GM,84.27,clear sky,13.2019,-16.7339,Dalaba Eco-Lodge Gambia
587,Kloulklubed,PW,77.5,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
593,Domoni,KM,79.29,broken clouds,-12.2569,44.5319,Al Djadid
596,Bubaque,GW,79.32,overcast clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
600,Olinda,BR,85.73,thunderstorm,-8.0089,-34.8553,Hotel Albergue de Olinda
601,Puerto Baquerizo Moreno,EC,76.19,broken clouds,-0.9,-89.6,Hotel los Algarrobos
606,Cabedelo,BR,86.67,scattered clouds,-6.9811,-34.8339,Hotel Pigalle
608,Tautira,PF,75.22,light rain,-17.7333,-149.15,Pension Oaoa
613,Poum,NC,81.64,broken clouds,-20.2333,164.0167,Gîte kajeon
614,Buriti Bravo,BR,77.11,overcast clouds,-5.8372,-43.8336,Hotel Fazenda
617,Oranjestad,AW,84.15,scattered clouds,12.524,-70.027,Divi Village Golf & Beach Resort
620,Bairiki,KI,80.6,light rain,1.3292,172.9752,Tarawa Boutique Hotel
627,Weligama,LK,77.18,broken clouds,5.9667,80.4167,Weligama Bay Resort
629,Kuching,MY,79.02,few clouds,1.55,110.3333,The Ranee Boutique Suites
631,Moron,AR,76.8,clear sky,-34.6534,-58.6198,Hotel Morón
639,Bafang,CM,85.6,broken clouds,5.1563,10.1788,Motel Mary-Alex
640,Port-Gentil,GA,87.76,scattered clouds,-0.7193,8.7815,Fengshui Residence
642,Acapulco,MX,81.37,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
646,Quatre Cocos,MU,80.71,few clouds,-20.2078,57.7625,Sunrise Attitude Hotel
647,Mercedes,AR,76.64,clear sky,-34.6515,-59.4307,Posada del Inti Centro
648,Ambilobe,MG,75.16,light rain,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
658,San Miguel,SV,82.06,few clouds,13.4833,-88.1833,Hotel Tropico Inn San Miguel
663,Tabou,CI,84.97,scattered clouds,4.423,-7.3528,hotêl doufoulougou
664,Miandrivazo,MG,84.45,broken clouds,-19.5167,45.4667,Hôtel Arc En Ciel Miandrivazo
668,Kaele,CM,86.56,clear sky,10.1092,14.4508,Hôtel Les Palmiers
672,Bang Phae,TH,85.89,clear sky,13.6916,99.9298,C&C Restaurant Ratchauri
674,Catuday,PH,77.85,overcast clouds,16.2923,119.8062,Benjie's Kubo & Cottages
683,Isiolo,KE,77.04,broken clouds,0.3546,37.5822,Gaddisa Hotel
