City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Severo-Kurilsk,RU,2022-01-26 01:24:46,50.6789,156.125,26.38,55,45,5.75
1,Ribeira Grande,PT,2022-01-26 01:24:46,38.5167,-28.7,59.68,79,100,6.98
2,Mayo,US,2022-01-26 01:24:18,38.8876,-76.5119,35.71,55,100,7.0
3,Mount Isa,AU,2022-01-26 01:24:47,-20.7333,139.5,85.77,66,75,12.66
4,Port Elizabeth,ZA,2022-01-26 01:22:36,-33.918,25.5701,70.11,83,100,10.36
5,Mataura,NZ,2022-01-26 01:24:47,-46.1927,168.8643,55.47,96,100,3.4
6,Puerto Ayora,EC,2022-01-26 01:24:48,-0.7393,-90.3518,73.87,88,76,6.35
7,Cape Town,ZA,2022-01-26 01:24:00,-33.9258,18.4232,68.41,79,0,5.99
8,Hobart,AU,2022-01-26 01:24:48,-42.8794,147.3294,67.01,73,75,8.05
9,Hithadhoo,MV,2022-01-26 01:24:48,-0.6,73.0833,81.1,67,100,17.94
10,Albany,US,2022-01-26 01:22:42,42.6001,-73.9662,23.58,72,11,8.05
11,Itigi,TZ,2022-01-26 01:24:49,-5.7,34.4833,62.71,93,99,2.28
12,Cururupu,BR,2022-01-26 01:23:31,-1.8283,-44.8683,75.67,90,61,3.33
13,Provideniya,RU,2022-01-26 01:24:49,64.3833,-173.3,-6.65,64,20,4.47
14,Thompson,CA,2022-01-26 01:23:55,55.7435,-97.8558,-7.44,71,75,10.36
15,Hermanus,ZA,2022-01-26 01:24:50,-34.4187,19.2345,66.79,85,94,12.88
16,Kaitangata,NZ,2022-01-26 01:24:50,-46.2817,169.8464,53.01,95,100,6.78
17,Puerto Del Rosario,ES,2022-01-26 01:24:51,28.5004,-13.8627,60.55,77,2,12.66
18,Rikitea,PF,2022-01-26 01:24:51,-23.1203,-134.9692,78.55,75,100,16.55
19,Bluff,NZ,2022-01-26 01:24:51,-46.6,168.3333,55.8,78,99,16.06
20,Groningen,NL,2022-01-26 01:21:05,53.25,6.75,38.08,94,100,1.01
21,Souillac,MU,2022-01-26 01:24:52,-20.5167,57.5167,75.58,69,40,10.36
22,Kinel,RU,2022-01-26 01:24:52,53.2333,50.65,6.04,97,100,5.44
23,Itarema,BR,2022-01-26 01:24:52,-2.9248,-39.9167,80.53,74,99,11.27
24,Angouleme,FR,2022-01-26 01:20:47,45.65,0.15,34.59,100,0,2.3
25,Kabanjahe,ID,2022-01-26 01:24:53,3.1001,98.4908,63.36,95,100,1.21
26,Busselton,AU,2022-01-26 01:23:54,-33.65,115.3333,68.09,54,24,11.41
27,Cidreira,BR,2022-01-26 01:24:54,-30.1811,-50.2056,77.5,87,74,17.16
28,Hilo,US,2022-01-26 01:24:54,19.7297,-155.09,78.53,68,100,6.91
29,Adrar,MR,2022-01-26 01:24:54,20.5022,-10.0711,67.23,16,100,7.58
30,Castro,BR,2022-01-26 01:22:47,-24.7911,-50.0119,66.42,64,6,4.56
31,Punta Arenas,CL,2022-01-26 01:22:55,-53.15,-70.9167,46.51,57,0,14.97
32,Chokurdakh,RU,2022-01-26 01:23:57,70.6333,147.9167,-31.83,100,100,7.34
33,La Plaine,DM,2022-01-26 01:24:55,15.3333,-61.25,74.95,69,0,11.23
34,Kapaa,US,2022-01-26 01:24:55,22.0752,-159.319,78.78,69,40,1.99
35,Atuona,PF,2022-01-26 01:22:27,-9.8,-139.0333,78.31,74,3,17.47
36,Qinhuangdao,CN,2022-01-26 01:22:58,39.9317,119.5883,24.33,50,100,5.01
37,Bathsheba,BB,2022-01-26 01:23:53,13.2167,-59.5167,74.01,83,20,6.91
38,Port Alfred,ZA,2022-01-26 01:24:56,-33.5906,26.891,72.01,85,100,10.87
39,Isangel,VU,2022-01-26 01:24:56,-19.55,169.2667,85.55,71,15,5.95
40,Vestmannaeyjar,IS,2022-01-26 01:24:57,63.4427,-20.2734,35.92,70,100,12.62
41,Avarua,CK,2022-01-26 01:24:57,-21.2078,-159.775,82.45,83,100,9.22
42,Faanui,PF,2022-01-26 01:24:57,-16.4833,-151.75,80.74,77,77,13.47
43,Yumen,CN,2022-01-26 01:24:58,40.2833,97.2,16.39,51,91,8.59
44,Tupik,RU,2022-01-26 01:24:58,54.4253,119.9327,-15.2,99,80,2.04
45,Airai,TL,2022-01-26 01:25:58,-8.9266,125.4092,70.66,64,100,4.21
46,Qaanaaq,GL,2022-01-26 01:25:59,77.484,-69.3632,-10.7,57,10,7.54
47,Jinxiang,CN,2022-01-26 01:26:00,27.4327,120.6062,51.26,90,100,8.68
48,Torrijos,ES,2022-01-26 01:26:00,39.9819,-4.2835,42.55,85,0,10.56
49,Jamestown,US,2022-01-26 01:22:47,42.097,-79.2353,18.72,85,100,5.75
50,Aripuana,BR,2022-01-26 01:26:00,-9.1667,-60.6333,74.01,96,100,2.28
51,Kupang,ID,2022-01-26 01:26:01,-10.1667,123.5833,84.78,84,75,11.5
52,Carnarvon,AU,2022-01-26 01:26:01,-24.8667,113.6333,80.67,65,0,17.27
53,Ushuaia,AR,2022-01-26 01:24:39,-54.8,-68.3,42.46,75,75,27.63
54,Georgetown,MY,2022-01-26 01:21:22,5.4112,100.3354,82.33,90,20,4.61
55,Bredasdorp,ZA,2022-01-26 01:22:44,-34.5322,20.0403,66.27,88,100,1.14
56,Inhapim,BR,2022-01-26 01:26:02,-19.5492,-42.12,73.99,89,0,4.12
57,Kodiak,US,2022-01-26 01:26:02,57.79,-152.4072,31.51,51,0,8.05
58,Mahebourg,MU,2022-01-26 01:26:03,-20.4081,57.7,75.49,69,40,10.36
59,Nouadhibou,MR,2022-01-26 01:26:03,20.931,-17.0347,66.18,72,99,20.71
60,Sterlitamak,RU,2022-01-26 01:26:03,53.6246,55.9502,-6.54,100,69,3.29
61,Talara,PE,2022-01-26 01:26:04,-4.5772,-81.2719,71.53,87,100,7.16
62,Sinnamary,GF,2022-01-26 01:26:04,5.3833,-52.95,76.46,87,59,10.02
63,Emerald,AU,2022-01-26 01:22:40,-23.5333,148.1667,87.35,41,100,13.31
64,Tasiilaq,GL,2022-01-26 01:26:04,65.6145,-37.6368,17.76,72,16,8.3
65,Mackenzie,CA,2022-01-26 01:26:05,55.2999,-123.1698,32.22,74,0,4.61
66,Karratha,AU,2022-01-26 01:26:05,-20.7377,116.8463,86.0,64,0,10.07
67,Luderitz,NA,2022-01-26 01:26:05,-26.6481,15.1594,73.58,61,6,21.77
68,Sri Aman,MY,2022-01-26 01:26:06,1.2376,111.4621,78.85,94,20,0.0
69,Kasama,ZM,2022-01-26 01:26:06,-10.2129,31.1808,61.27,95,100,5.57
70,Collie,AU,2022-01-26 01:26:06,-33.3667,116.15,65.98,47,0,7.83
71,Bethel,US,2022-01-26 01:26:07,41.3712,-73.414,33.57,59,0,3.44
72,Dikson,RU,2022-01-26 01:26:07,73.5069,80.5464,11.59,92,100,30.04
73,Saskylakh,RU,2022-01-26 01:26:08,71.9167,114.0833,10.33,85,100,19.24
74,Portland,US,2022-01-26 01:26:08,45.5234,-122.6762,46.49,69,20,1.99
75,Byron Bay,AU,2022-01-26 01:22:18,-28.65,153.6167,78.91,86,100,5.14
76,Leshukonskoye,RU,2022-01-26 01:26:08,64.8989,45.7622,7.72,96,53,4.76
77,Raga,SS,2022-01-26 01:26:09,8.4596,25.678,69.64,23,100,4.43
78,Broken Hill,AU,2022-01-26 01:26:09,-31.95,141.4333,89.31,43,75,8.05
79,Karatau,KZ,2022-01-26 01:26:09,43.1667,70.4667,25.3,72,3,3.83
80,Butaritari,KI,2022-01-26 01:26:10,3.0707,172.7902,82.15,79,20,16.62
81,Mishelevka,RU,2022-01-26 01:26:10,52.8575,103.1719,-19.8,100,100,1.57
82,Popondetta,PG,2022-01-26 01:26:10,-8.7537,148.2534,87.62,67,100,4.32
83,Rantauprapat,ID,2022-01-26 01:26:11,2.1,99.8333,74.25,96,100,1.3
84,Onega,RU,2022-01-26 01:26:11,63.9061,38.1404,2.62,97,64,3.53
85,Turukhansk,RU,2022-01-26 01:26:11,65.8167,87.9833,-17.39,100,91,6.33
86,Saint-Philippe,RE,2022-01-26 01:26:12,-21.3585,55.7679,72.99,69,95,12.44
87,Winsum,NL,2022-01-26 01:26:12,53.33,6.5208,39.18,92,100,10.04
88,Havre-Saint-Pierre,CA,2022-01-26 01:26:12,50.2334,-63.5986,14.59,85,100,17.27
89,Bloemfontein,ZA,2022-01-26 01:26:13,-29.1211,26.214,63.88,77,41,3.44
90,Yellowknife,CA,2022-01-26 01:26:13,62.456,-114.3525,1.42,89,75,14.97
91,Buraydah,SA,2022-01-26 01:26:13,26.326,43.975,52.25,41,0,10.98
92,Brainerd,US,2022-01-26 01:27:14,46.358,-94.2008,-5.78,59,0,8.05
93,Saint-Augustin,CA,2022-01-26 01:27:15,51.226,-58.6502,3.4,94,99,5.5
94,Smithers,CA,2022-01-26 01:23:14,54.7804,-127.1743,32.32,80,20,2.3
95,Manta,EC,2022-01-26 01:27:15,-0.95,-80.7333,74.98,88,100,5.75
96,Nuuk,GL,2022-01-26 01:27:15,64.1835,-51.7216,23.61,74,100,11.5
97,Half Moon Bay,US,2022-01-26 01:27:16,37.4636,-122.4286,61.03,78,0,1.01
98,Tuktoyaktuk,CA,2022-01-26 01:27:16,69.4541,-133.0374,15.8,92,100,42.57
99,Lai,TD,2022-01-26 01:27:16,9.3952,16.2989,71.49,20,86,7.52
100,Kenai,US,2022-01-26 01:24:03,60.5544,-151.2583,33.89,80,0,0.0
101,Slatina,RO,2022-01-26 01:27:17,44.4333,24.3667,24.1,67,9,6.69
102,San Borja,BO,2022-01-26 01:27:17,-14.8167,-66.85,76.55,88,100,2.82
103,Pelym,RU,2022-01-26 01:27:18,61.0108,61.9978,9.81,90,100,5.75
104,Fianarantsoa,MG,2022-01-26 01:27:18,-21.4333,47.0833,55.51,98,46,2.64
105,Sur,OM,2022-01-26 01:27:18,22.5667,59.5289,68.92,66,6,11.01
106,Lucapa,AO,2022-01-26 01:27:19,-8.4192,20.7447,65.34,98,100,5.39
107,Vaini,TO,2022-01-26 01:27:19,-21.2,-175.2,86.16,79,20,6.91
108,Uarini,BR,2022-01-26 01:27:19,-2.99,-65.1083,73.47,99,100,2.66
109,Lebu,CL,2022-01-26 01:27:20,-37.6167,-73.65,58.08,88,0,14.94
110,Esperance,AU,2022-01-26 01:27:20,-33.8667,121.9,67.84,79,100,13.29
111,San Cristobal,VE,2022-01-26 01:27:20,7.7669,-72.225,75.38,82,100,2.33
112,Ilulissat,GL,2022-01-26 01:27:21,69.2167,-51.1,14.02,52,100,23.02
113,Igarka,RU,2022-01-26 01:27:21,67.4667,86.5833,-12.15,98,100,15.48
114,New Norfolk,AU,2022-01-26 01:27:21,-42.7826,147.0587,66.65,61,100,1.99
115,Tezu,IN,2022-01-26 01:27:22,27.9167,96.1667,58.15,58,100,2.3
116,Chuy,UY,2022-01-26 01:27:22,-33.6971,-53.4616,74.44,95,100,3.42
117,Bandarbeyla,SO,2022-01-26 01:27:22,9.4942,50.8122,72.72,66,3,17.47
118,Sabang,ID,2022-01-26 01:27:23,5.8933,95.3214,81.63,74,53,12.88
119,Batagay-Alyta,RU,2022-01-26 01:27:23,67.8006,130.4114,-9.83,90,100,2.84
120,Lompoc,US,2022-01-26 01:26:46,34.6391,-120.4579,61.41,84,0,10.36
121,Namibe,AO,2022-01-26 01:27:24,-15.1961,12.1522,75.13,84,96,2.17
122,Celestun,MX,2022-01-26 01:27:24,20.8667,-90.4,73.72,91,0,7.83
123,Henties Bay,NA,2022-01-26 01:27:25,-22.116,14.2845,66.85,86,61,5.75
124,Norman Wells,CA,2022-01-26 01:27:25,65.282,-126.8329,37.2,78,100,19.62
125,Gushikawa,JP,2022-01-26 01:27:25,26.3544,127.8686,67.62,65,75,9.22
126,Rio Verde De Mato Grosso,BR,2022-01-26 01:26:19,-18.9181,-54.8442,78.15,77,69,4.41
127,Jizan,SA,2022-01-26 01:27:26,17.3333,42.6667,74.34,75,7,1.77
128,Nikolskoye,RU,2022-01-26 01:27:26,59.7035,30.7861,13.91,99,71,3.15
129,Barbastro,ES,2022-01-26 01:27:26,42.0356,0.1269,30.38,61,0,3.91
130,Kysyl-Syr,RU,2022-01-26 01:27:27,63.8986,122.7617,-13.99,97,91,6.2
131,Krasnoselkup,RU,2022-01-26 01:27:27,65.7,82.4667,-12.84,98,39,12.08
132,Bridlington,GB,2022-01-26 01:27:28,54.0831,-0.1919,40.69,85,69,10.2
133,Manokwari,ID,2022-01-26 01:27:29,-0.8667,134.0833,83.5,70,100,3.96
134,Meadow Lake,US,2022-01-26 01:27:29,34.8014,-106.5436,50.14,25,17,6.46
135,Carbonear,CA,2022-01-26 01:27:29,47.7332,-53.2148,28.42,78,100,4.83
136,Praya,CV,2022-01-26 01:27:30,14.9215,-23.5087,73.38,75,6,15.12
137,Barrow,US,2022-01-26 01:25:02,71.2906,-156.7887,-5.78,77,75,21.85
138,Arraial Do Cabo,BR,2022-01-26 01:28:30,-22.9661,-42.0278,76.15,88,0,19.98
139,Lesnoy,RU,2022-01-26 01:26:10,57.6198,63.0784,7.92,90,81,7.02
140,Tomatlan,MX,2022-01-26 01:28:31,19.9333,-105.25,71.67,72,2,3.22
141,Beringovskiy,RU,2022-01-26 01:28:31,63.05,179.3167,-21.89,92,23,0.31
142,Vostok,RU,2022-01-26 01:28:31,46.4856,135.8833,7.48,89,100,1.41
143,Natal,BR,2022-01-26 01:28:32,-5.795,-35.2094,82.62,78,20,9.22
144,Vila Franca Do Campo,PT,2022-01-26 01:28:32,37.7167,-25.4333,58.19,79,97,8.61
145,Kununurra,AU,2022-01-26 01:28:32,-15.7667,128.7333,80.58,89,75,8.05
146,Douentza,ML,2022-01-26 01:28:32,14.9951,-2.9517,64.42,14,14,5.75
147,Lagoa,PT,2022-01-26 01:28:33,39.05,-27.9833,58.62,82,100,8.75
148,Cap Malheureux,MU,2022-01-26 01:28:33,-19.9842,57.6142,75.69,74,1,1.99
149,Varnamo,SE,2022-01-26 01:28:33,57.186,14.04,38.75,96,100,7.27
150,Nemuro,JP,2022-01-26 01:28:34,43.3236,145.575,23.43,73,100,0.29
151,Abha,SA,2022-01-26 01:28:34,18.2164,42.5053,51.62,87,0,3.44
152,Kungurtug,RU,2022-01-26 01:28:34,50.5994,97.5228,-17.37,96,94,1.72
153,Seoul,KR,2022-01-26 01:28:29,37.5683,126.9778,35.17,77,0,1.14
154,Brae,GB,2022-01-26 01:28:35,60.3964,-1.353,44.51,70,48,33.02
155,Esmeraldas,BR,2022-01-26 01:28:35,-19.7625,-44.3139,76.06,80,77,8.14
156,Deputatskiy,RU,2022-01-26 01:28:36,69.3,139.9,-31.65,99,35,5.46
157,Lujan,AR,2022-01-26 01:28:36,-34.5703,-59.105,80.35,93,83,6.15
158,Majene,ID,2022-01-26 01:28:36,-3.5403,118.9707,83.84,66,78,1.74
159,Aswan,EG,2022-01-26 01:28:37,24.0934,32.907,43.9,39,0,4.61
160,Dunedin,NZ,2022-01-26 01:24:15,-45.8742,170.5036,56.8,87,99,7.0
161,Longyearbyen,SJ,2022-01-26 01:28:37,78.2186,15.6401,15.64,57,40,14.97
162,Hami,CN,2022-01-26 01:28:37,42.8,93.45,21.2,51,3,3.78
163,Nago,JP,2022-01-26 01:28:38,26.5881,127.9761,68.45,66,5,8.84
164,Baft,IR,2022-01-26 01:28:38,29.234,56.6057,35.67,57,0,2.95
165,Channel-Port Aux Basques,CA,2022-01-26 01:28:38,47.5702,-59.1367,30.74,97,100,24.49
166,Markdale,CA,2022-01-26 01:26:00,44.3168,-80.6497,7.03,98,76,2.37
167,Te Anau,NZ,2022-01-26 01:28:39,-45.4167,167.7167,56.5,83,95,3.31
168,Bambous Virieux,MU,2022-01-26 01:28:39,-20.3428,57.7575,75.45,69,40,10.36
169,Port Moresby,PG,2022-01-26 01:28:40,-9.4431,147.1797,90.82,58,40,8.05
170,Hamilton,US,2022-01-26 01:26:29,39.1834,-84.5333,24.73,67,0,1.99
171,Sao Joao Da Barra,BR,2022-01-26 01:28:40,-21.6403,-41.0511,75.43,90,4,9.15
172,Klaksvik,FO,2022-01-26 01:28:41,62.2266,-6.589,41.92,72,74,48.94
173,Bure,ET,2022-01-26 01:28:41,10.7,37.0667,56.84,41,27,3.98
174,Kalmunai,LK,2022-01-26 01:28:41,7.4167,81.8167,72.81,80,89,1.61
175,Fairbanks,US,2022-01-26 01:26:54,64.8378,-147.7164,19.36,75,40,8.05
176,Ponta Do Sol,PT,2022-01-26 01:28:42,32.6667,-17.1,61.43,54,24,8.08
177,Puerto Escondido,MX,2022-01-26 01:28:42,15.85,-97.0667,81.43,65,0,0.0
178,Beihai,CN,2022-01-26 01:28:42,21.4833,109.1,66.6,86,100,14.85
179,Sitka,US,2022-01-26 01:28:43,57.0531,-135.33,39.09,87,100,4.61
180,Avera,US,2022-01-26 01:28:43,33.194,-82.5271,51.71,72,97,5.03
181,Khatanga,RU,2022-01-26 01:28:43,71.9667,102.5,-2.97,86,80,13.24
182,Montrose,US,2022-01-26 01:27:02,38.4166,-108.2673,24.21,78,100,3.62
183,Coahuayana,MX,2022-01-26 01:29:44,18.7333,-103.6833,81.88,74,0,3.04
184,Luganville,VU,2022-01-26 01:29:44,-15.5333,167.1667,86.86,70,92,5.19
185,Dayong,CN,2022-01-26 01:29:45,25.0209,118.2898,64.08,73,21,2.68
186,Hovd,MN,2022-01-26 01:29:45,48.0056,91.6419,-11.33,75,4,4.68
187,Waipawa,NZ,2022-01-26 01:29:45,-41.4122,175.5153,70.43,59,74,5.44
188,San Fernando,PH,2022-01-26 01:29:46,15.0286,120.6898,82.49,65,85,7.49
189,Saint George,US,2022-01-26 01:29:22,37.1041,-113.5841,48.63,36,0,1.99
190,East London,ZA,2022-01-26 01:29:46,-33.0153,27.9116,72.36,85,100,3.94
191,Grand Gaube,MU,2022-01-26 01:29:46,-20.0064,57.6608,75.6,74,1,1.01
192,Antsohihy,MG,2022-01-26 01:29:47,-14.8796,47.9875,71.65,92,100,6.98
193,Holoby,UA,2022-01-26 01:29:47,51.0865,25.0077,35.06,98,100,11.56
194,Narsaq,GL,2022-01-26 01:29:47,60.9167,-46.05,26.82,88,100,10.38
195,Russell,US,2022-01-26 01:29:48,32.3502,-85.1999,55.0,77,75,0.0
196,Aviles,ES,2022-01-26 01:29:48,43.5547,-5.9248,46.72,91,0,2.3
197,Anito,PH,2022-01-26 01:29:48,12.4497,125.2886,79.11,92,99,11.25
198,Port Blair,IN,2022-01-26 01:29:49,11.6667,92.75,80.64,74,20,5.75
199,Hasaki,JP,2022-01-26 01:29:49,35.7333,140.8333,39.6,85,100,19.37
200,Izhma,RU,2022-01-26 01:29:49,65.0083,53.9113,19.08,93,100,8.5
201,Porto Novo,BJ,2022-01-26 01:29:50,6.4965,2.6036,75.02,81,0,2.21
202,Ostrovnoy,RU,2022-01-26 01:29:50,68.0531,39.5131,17.76,84,19,17.9
203,Sept-Iles,CA,2022-01-26 01:29:50,50.2001,-66.3821,8.06,88,75,3.0
204,Faya,SA,2022-01-26 01:29:51,18.3851,42.4509,51.91,81,22,4.14
205,Darnah,LY,2022-01-26 01:29:51,32.767,22.6367,47.12,58,94,28.83
206,Uray,RU,2022-01-26 01:29:51,60.1247,64.7758,3.2,95,97,5.3
207,Durant,US,2022-01-26 01:29:52,33.994,-96.3708,45.3,39,0,16.11
208,Iqaluit,CA,2022-01-26 01:29:52,63.7506,-68.5145,-20.47,69,75,4.61
209,Broome,US,2022-01-26 01:25:33,42.2506,-75.833,21.16,84,100,4.0
210,Vanimo,PG,2022-01-26 01:29:53,-2.6741,141.3028,85.08,67,70,3.2
211,Gigmoto,PH,2022-01-26 01:29:53,13.7796,124.39,78.55,90,99,7.94
212,Alofi,NU,2022-01-26 01:29:53,-19.0595,-169.9187,80.49,89,75,6.91
213,Tessalit,ML,2022-01-26 01:29:54,20.1986,1.0114,61.54,17,100,10.47
214,Pyaozerskiy,RU,2022-01-26 01:29:54,65.8333,31.1667,13.68,92,74,7.29
215,Narrabri,AU,2022-01-26 01:29:54,-30.3167,149.7833,72.52,95,83,1.01
216,Tuatapere,NZ,2022-01-26 01:29:55,-46.1333,167.6833,55.81,90,91,6.06
217,Aransas Pass,US,2022-01-26 01:29:55,27.9095,-97.15,57.43,87,0,8.99
218,Saint Marys,US,2022-01-26 01:29:55,30.7305,-81.5465,56.05,77,100,3.44
219,Jumla,NP,2022-01-26 01:29:56,29.2747,82.1838,25.18,72,11,4.7
220,Bilma,NE,2022-01-26 01:29:56,18.6853,12.9164,55.85,26,2,17.4
221,Maceio,BR,2022-01-26 01:29:56,-9.6658,-35.7353,80.04,89,40,3.44
222,Kahului,US,2022-01-26 01:29:57,20.8947,-156.47,84.22,53,20,12.66
223,Ordzhonikidze,KZ,2022-01-26 01:29:57,52.4411,61.7408,1.36,93,64,7.23
224,Gladstone,AU,2022-01-26 01:29:57,-23.85,151.25,89.78,58,40,12.66
225,Isla Vista,US,2022-01-26 01:29:58,34.4133,-119.861,62.67,68,0,4.61
226,Coos Bay,US,2022-01-26 01:29:58,43.3665,-124.2179,57.99,72,0,4.61
227,Le Port,RE,2022-01-26 01:29:59,-20.9373,55.2919,73.4,73,68,1.92
228,Salalah,OM,2022-01-26 01:30:59,17.0151,54.0924,66.29,34,0,4.61
229,Nome,US,2022-01-26 01:30:59,64.5011,-165.4064,-7.53,84,20,0.0
230,Clyde River,CA,2022-01-26 01:31:00,70.4692,-68.5914,-7.37,84,100,17.27
231,Santa Vitoria Do Palmar,BR,2022-01-26 01:31:00,-33.5189,-53.3681,74.89,96,100,5.1
232,Havelock,US,2022-01-26 01:31:00,34.8791,-76.9013,51.93,86,100,0.0
233,Tura,IN,2022-01-26 01:31:01,25.5198,90.2201,60.01,68,0,2.84
234,Tiznit,MA,2022-01-26 01:31:01,29.5833,-9.5,50.49,87,44,4.47
235,Balabac,PH,2022-01-26 01:31:01,7.9868,117.0645,82.09,79,83,14.16
236,Mandalgovi,MN,2022-01-26 01:31:02,45.7625,106.2708,0.48,76,0,5.06
237,Yerbogachen,RU,2022-01-26 01:31:02,61.2767,108.0108,-19.21,100,99,3.29
238,Dingle,PH,2022-01-26 01:31:03,10.9995,122.6711,81.63,81,99,13.6
239,High Level,CA,2022-01-26 01:31:03,58.5169,-117.136,35.71,93,100,9.22
240,Matara,LK,2022-01-26 01:31:03,5.9485,80.5353,72.97,83,79,5.53
241,Leh,IN,2022-01-26 01:31:04,34.1667,77.5833,-6.38,88,100,3.85
242,Weihai,CN,2022-01-26 01:31:04,37.5017,122.1136,36.12,53,18,11.05
243,Fureidis,IL,2022-01-26 01:31:05,32.5986,34.9558,50.49,70,95,12.1
244,Kijang,KR,2022-01-26 01:31:05,35.2442,129.2139,42.53,36,0,8.7
245,Ust-Charyshskaya Pristan,RU,2022-01-26 01:31:05,52.3934,83.6635,-0.04,93,100,3.78
246,Inhambane,MZ,2022-01-26 01:31:06,-23.865,35.3833,78.49,89,91,11.21
247,Nanortalik,GL,2022-01-26 01:31:06,60.1432,-45.2371,26.67,94,100,7.05
248,Pevek,RU,2022-01-26 01:31:06,69.7008,170.3133,-34.11,100,77,3.58
249,Adamas,GR,2022-01-26 01:31:07,36.7333,24.4333,42.98,73,100,28.74
250,Mangrol,IN,2022-01-26 01:31:07,21.1167,70.1167,58.01,47,3,10.96
251,Coihaique,CL,2022-01-26 01:31:08,-45.5752,-72.0662,59.61,58,0,0.0
252,Cuitareo,MX,2022-01-26 01:31:08,19.6167,-100.6,58.95,61,1,1.48
253,Egvekinot,RU,2022-01-26 01:31:08,66.3167,-179.1667,-26.32,91,100,0.27
254,Holme,DK,2022-01-26 01:31:09,56.1138,10.1725,41.31,91,100,15.97
255,Srivardhan,IN,2022-01-26 01:31:09,18.0333,73.0167,63.03,66,2,4.97
256,Fethiye,TR,2022-01-26 01:31:09,36.6217,29.1164,37.27,82,87,7.11
257,Cherskiy,RU,2022-01-26 01:31:10,68.75,161.3,-42.3,99,71,5.12
258,Bengkulu,ID,2022-01-26 01:31:10,-3.8004,102.2655,79.18,78,96,3.51
259,Puerto Suarez,BO,2022-01-26 01:31:11,-18.95,-57.8,78.12,74,100,3.4
260,Upernavik,GL,2022-01-26 01:31:11,72.7868,-56.1549,0.34,95,98,7.81
261,Krasnoarmeysk,RU,2022-01-26 01:31:12,51.0239,45.6969,7.29,96,99,5.66
262,Novyy Urengoy,RU,2022-01-26 01:31:12,66.0833,76.6333,-1.14,97,99,16.67
263,Cortez,US,2022-01-26 01:31:12,37.3489,-108.5859,39.52,54,100,11.5
264,Kutum,SD,2022-01-26 01:31:13,14.2,24.6667,55.96,29,98,8.41
265,Andenes,NO,2022-01-26 01:31:13,69.3143,16.1194,30.18,86,100,11.5
266,Lalmohan,BD,2022-01-26 01:31:13,22.3384,90.7419,68.83,65,52,6.2
267,Orlik,RU,2022-01-26 01:31:14,52.5178,99.825,-13.29,94,100,2.51
268,Christchurch,NZ,2022-01-26 01:29:27,-43.5333,172.6333,71.33,68,75,4.0
269,Banjarmasin,ID,2022-01-26 01:31:15,-3.3244,114.591,82.54,73,93,3.96
270,Bereznik,RU,2022-01-26 01:31:15,62.8551,42.7072,8.22,99,90,4.34
271,Shimoda,JP,2022-01-26 01:31:16,34.6667,138.95,46.76,73,100,6.42
272,Banda Aceh,ID,2022-01-26 01:31:16,5.5577,95.3222,80.91,75,52,7.74
273,Flinders,AU,2022-01-26 01:31:16,-34.5833,150.8552,79.88,71,100,7.83
274,Baherden,TM,2022-01-26 01:31:17,38.4362,57.4316,40.98,44,100,6.15
275,Chabua,IN,2022-01-26 01:32:17,27.4825,95.1736,57.15,100,75,3.44
276,Adeje,ES,2022-01-26 01:32:17,28.1227,-16.726,61.93,60,20,9.22
277,Kiliya,UA,2022-01-26 01:32:18,45.4552,29.2637,16.36,68,99,6.4
278,La Ronge,CA,2022-01-26 01:32:18,55.1001,-105.2842,10.65,85,100,11.5
279,Makakilo City,US,2022-01-26 01:29:58,21.3469,-158.0858,79.12,54,20,6.91
280,Tashtyp,RU,2022-01-26 01:32:19,52.7939,89.8983,2.62,95,100,1.57
